Region,MetropolitanStatus,Exper,Educ,WeeklyEarnings
South,MetropolitanArea,6,12,481.96
Northeast,MetropolitanArea,12,12,474.83
Northeast,MetropolitanArea,19,14,617.28
Northeast,MetropolitanArea,16,12,593.54
Midwest,NotMetropolitanArea,10,9,351.61
South,NotMetropolitanArea,12,12,123.46
South,MetropolitanArea,2,12,356.13
Midwest,MetropolitanArea,34,13,949.67
South,MetropolitanArea,5,12,175.69
Northeast,MetropolitanArea,10,18,2374.15
West,MetropolitanArea,10,11,522.32
West,MetropolitanArea,18,15,474.83
Northeast,MetropolitanArea,29,13,332.38
Midwest,MetropolitanArea,16,14,897.77
Northeast,MetropolitanArea,10,12,645.82
South,MetropolitanArea,7,13,569.8
South,NotMetropolitanArea,23,12,403.61
Northeast,MetropolitanArea,44,10,740.74
Midwest,MetropolitanArea,28,12,830.96
Midwest,MetropolitanArea,6,13,569.8
South,NotMetropolitanArea,44,8,308.64
South,MetropolitanArea,2,18,830.96
South,NotMetropolitanArea,13,10,251.85
West,NotMetropolitanArea,19,11,332.76
West,MetropolitanArea,25,14,1566.95
West,MetropolitanArea,19,11,949.67
South,MetropolitanArea,19,12,141.09
Northeast,MetropolitanArea,5,12,466.39
South,MetropolitanArea,3,16,345.68
South,MetropolitanArea,48,12,938.27
Northeast,MetropolitanArea,7,16,370.37
West,NotMetropolitanArea,16,13,925.93
West,NotMetropolitanArea,0,13,142.45
West,MetropolitanArea,24,2,195.09
Northeast,MetropolitanArea,12,11,370.37
South,MetropolitanArea,1,13,284.9
Midwest,NotMetropolitanArea,5,16,360.08
South,MetropolitanArea,15,14,962.89
West,MetropolitanArea,27,10,998.16
West,MetropolitanArea,16,12,189.93
South,MetropolitanArea,21,18,1187.08
West,MetropolitanArea,12,17,1046.18
South,MetropolitanArea,19,15,474.83
West,NotMetropolitanArea,11,12,546.36
South,NotMetropolitanArea,7,12,284.9
Northeast,MetropolitanArea,4,16,569.8
South,MetropolitanArea,42,14,1424.5
South,MetropolitanArea,6,18,1424.5
West,NotMetropolitanArea,14,12,356.13
Northeast,MetropolitanArea,15,12,308.64
Midwest,MetropolitanArea,22,12,712.25
Midwest,MetropolitanArea,1,18,328.89
West,MetropolitanArea,27,9,551.5
Northeast,NotMetropolitanArea,3,12,97.34
Northeast,MetropolitanArea,5,12,617.28
South,MetropolitanArea,16,18,1187.08
South,MetropolitanArea,37,11,569.8
South,MetropolitanArea,2,14,268.38
West,MetropolitanArea,7,16,1139.6
Northeast,MetropolitanArea,7,17,1371.74
Midwest,MetropolitanArea,41,12,712.25
Northeast,NotMetropolitanArea,15,11,434.33
Midwest,MetropolitanArea,11,18,2374.15
South,NotMetropolitanArea,2,12,208.55
Northeast,NotMetropolitanArea,39,9,139.7
Northeast,MetropolitanArea,11,18,641.03
Northeast,MetropolitanArea,10,12,558.5
Northeast,MetropolitanArea,20,12,426.16
South,MetropolitanArea,18,12,593.54
South,MetropolitanArea,16,12,831.77
West,NotMetropolitanArea,16,13,182.66
West,MetropolitanArea,52,8,417.85
West,NotMetropolitanArea,26,12,949.67
West,MetropolitanArea,43,12,851.43
West,NotMetropolitanArea,11,14,403.61
South,NotMetropolitanArea,24,13,712.25
South,MetropolitanArea,23,12,498.58
Northeast,MetropolitanArea,21,16,605.41
Midwest,NotMetropolitanArea,41,8,830.96
South,MetropolitanArea,18,12,315.82
West,MetropolitanArea,14,11,474.83
Midwest,MetropolitanArea,27,14,474.83
West,MetropolitanArea,4,13,360.08
Midwest,MetropolitanArea,2,13,379.87
Midwest,MetropolitanArea,25,14,1004.53
West,MetropolitanArea,37,6,352.73
Midwest,MetropolitanArea,12,12,356.13
South,MetropolitanArea,10,10,308.64
West,MetropolitanArea,20,0,219.48
South,NotMetropolitanArea,34,8,296.3
Northeast,MetropolitanArea,11,10,593.54
Midwest,MetropolitanArea,40,8,474.83
Northeast,NotMetropolitanArea,3,13,472.46
South,MetropolitanArea,28,12,403.61
Northeast,NotMetropolitanArea,39,10,593.54
Midwest,NotMetropolitanArea,22,15,244.34
Northeast,MetropolitanArea,41,1,1780.63
South,MetropolitanArea,7,16,563.61
West,MetropolitanArea,15,18,1028.81
Northeast,MetropolitanArea,27,16,1187.08
West,MetropolitanArea,15,14,1234.57
Northeast,MetropolitanArea,3,12,987.65
South,NotMetropolitanArea,25,12,472.59
West,MetropolitanArea,17,17,234.57
South,MetropolitanArea,34,12,367.74
Northeast,NotMetropolitanArea,12,16,451.09
West,MetropolitanArea,3,12,370.37
Northeast,MetropolitanArea,33,12,854.7
Midwest,NotMetropolitanArea,9,14,498.58
South,NotMetropolitanArea,8,12,498.58
South,MetropolitanArea,12,14,712.25
Midwest,NotMetropolitanArea,13,16,581.67
Midwest,NotMetropolitanArea,4,12,377.49
South,MetropolitanArea,36,12,937.8
Midwest,NotMetropolitanArea,25,16,2374.15
Northeast,MetropolitanArea,21,12,401.12
Midwest,NotMetropolitanArea,7,12,427.04
Midwest,NotMetropolitanArea,13,12,712.25
West,NotMetropolitanArea,15,15,688.51
West,MetropolitanArea,8,9,284.9
Northeast,MetropolitanArea,7,10,246.91
Northeast,MetropolitanArea,36,16,712.25
West,NotMetropolitanArea,16,15,1115.86
South,MetropolitanArea,1,12,189.93
South,NotMetropolitanArea,24,12,308.55
West,MetropolitanArea,34,3,841.98
West,MetropolitanArea,21,8,569.8
Northeast,MetropolitanArea,5,12,394.52
West,MetropolitanArea,9,12,783.48
Midwest,MetropolitanArea,0,17,1111.11
West,MetropolitanArea,12,12,902.18
Northeast,MetropolitanArea,8,12,370.37
South,MetropolitanArea,32,18,1305.79
West,MetropolitanArea,17,16,1068.38
West,NotMetropolitanArea,5,16,617.28
West,MetropolitanArea,31,9,774.89
Midwest,NotMetropolitanArea,13,12,347.79
South,NotMetropolitanArea,24,10,664.77
South,MetropolitanArea,3,13,237.42
West,NotMetropolitanArea,22,12,439.27
South,MetropolitanArea,8,16,1020.89
Midwest,MetropolitanArea,39,18,1424.5
Northeast,MetropolitanArea,13,16,783.48
West,MetropolitanArea,18,12,783.48
West,MetropolitanArea,16,12,261.16
Northeast,MetropolitanArea,29,9,379.87
South,MetropolitanArea,11,16,403.29
Midwest,MetropolitanArea,13,12,185.19
Northeast,MetropolitanArea,44,13,1139.6
South,MetropolitanArea,8,14,664.77
South,MetropolitanArea,20,12,783.48
Midwest,NotMetropolitanArea,8,12,459.59
West,MetropolitanArea,22,8,670.96
Midwest,NotMetropolitanArea,4,15,322.74
Northeast,MetropolitanArea,24,12,543.21
Midwest,MetropolitanArea,3,16,356.13
South,MetropolitanArea,8,15,332.38
South,MetropolitanArea,8,12,189.93
South,NotMetropolitanArea,6,10,328.21
South,MetropolitanArea,24,15,712.25
Northeast,MetropolitanArea,28,14,593.54
West,MetropolitanArea,17,3,237.42
West,MetropolitanArea,1,13,104.25
West,NotMetropolitanArea,1,13,364.2
South,MetropolitanArea,5,11,299.29
West,MetropolitanArea,8,14,344.53
Midwest,MetropolitanArea,9,12,1187.08
Midwest,MetropolitanArea,15,15,569.8
Midwest,MetropolitanArea,18,16,835.0
Northeast,MetropolitanArea,20,14,735.99
Midwest,MetropolitanArea,8,12,261.16
South,MetropolitanArea,20,12,295.48
Midwest,MetropolitanArea,8,16,402.85
West,MetropolitanArea,10,10,237.1
Midwest,MetropolitanArea,9,16,759.73
South,MetropolitanArea,16,18,1210.83
South,MetropolitanArea,14,13,356.13
South,MetropolitanArea,22,12,751.48
Northeast,MetropolitanArea,40,18,735.99
Midwest,NotMetropolitanArea,23,18,1305.79
South,MetropolitanArea,4,14,284.9
West,NotMetropolitanArea,32,13,191.36
West,MetropolitanArea,19,13,569.8
Northeast,MetropolitanArea,16,14,694.44
South,MetropolitanArea,10,12,245.63
Midwest,MetropolitanArea,10,11,226.34
South,MetropolitanArea,30,16,1187.08
South,MetropolitanArea,6,14,379.87
South,MetropolitanArea,18,16,973.41
West,MetropolitanArea,4,15,691.36
Midwest,MetropolitanArea,10,14,522.32
West,NotMetropolitanArea,27,12,205.76
South,MetropolitanArea,24,12,166.19
West,MetropolitanArea,35,3,222.22
Northeast,MetropolitanArea,23,12,937.1
South,MetropolitanArea,6,11,294.14
Northeast,MetropolitanArea,15,14,664.77
Midwest,MetropolitanArea,36,12,514.4
Northeast,MetropolitanArea,23,12,296.77
South,NotMetropolitanArea,20,11,246.91
Midwest,NotMetropolitanArea,41,12,993.02
Midwest,MetropolitanArea,7,12,240.74
South,MetropolitanArea,0,14,474.83
West,MetropolitanArea,27,12,750.1
South,MetropolitanArea,18,16,783.48
Northeast,MetropolitanArea,20,16,997.15
West,MetropolitanArea,20,12,154.32
Northeast,MetropolitanArea,25,13,997.15
Midwest,MetropolitanArea,12,13,890.6
Northeast,MetropolitanArea,8,14,688.51
South,MetropolitanArea,17,14,617.28
West,NotMetropolitanArea,6,12,392.82
South,NotMetropolitanArea,39,16,489.16
Midwest,NotMetropolitanArea,4,12,183.87
South,MetropolitanArea,17,18,949.67
Midwest,MetropolitanArea,11,12,356.13
Midwest,NotMetropolitanArea,24,12,488.19
South,MetropolitanArea,9,16,593.54
Midwest,NotMetropolitanArea,7,16,494.99
South,MetropolitanArea,20,7,370.37
West,MetropolitanArea,22,18,1316.87
West,MetropolitanArea,2,14,641.03
South,NotMetropolitanArea,12,16,237.42
South,NotMetropolitanArea,38,12,370.37
South,NotMetropolitanArea,19,12,379.87
South,MetropolitanArea,10,14,712.25
Northeast,NotMetropolitanArea,18,16,973.41
Northeast,NotMetropolitanArea,8,16,2374.15
West,MetropolitanArea,15,9,555.56
West,NotMetropolitanArea,6,9,238.1
Northeast,MetropolitanArea,11,16,997.63
Northeast,NotMetropolitanArea,6,12,197.53
Midwest,NotMetropolitanArea,13,12,510.45
Northeast,MetropolitanArea,1,14,395.06
Midwest,MetropolitanArea,16,14,569.8
Northeast,MetropolitanArea,13,12,334.76
Midwest,MetropolitanArea,27,15,1234.57
West,MetropolitanArea,11,12,569.8
South,MetropolitanArea,13,12,664.77
Midwest,MetropolitanArea,7,15,905.35
South,MetropolitanArea,18,16,2136.75
Midwest,NotMetropolitanArea,36,7,246.91
South,NotMetropolitanArea,15,12,534.19
West,MetropolitanArea,8,16,902.18
South,MetropolitanArea,11,13,498.58
South,MetropolitanArea,8,16,1153.85
Midwest,MetropolitanArea,1,14,462.96
South,MetropolitanArea,14,13,246.91
South,MetropolitanArea,14,9,474.83
Northeast,MetropolitanArea,19,12,712.25
South,NotMetropolitanArea,21,14,284.9
Midwest,MetropolitanArea,16,12,830.96
Northeast,MetropolitanArea,9,18,1115.86
Midwest,NotMetropolitanArea,30,12,381.65
Northeast,MetropolitanArea,10,16,830.96
South,MetropolitanArea,12,16,688.51
Midwest,MetropolitanArea,13,15,783.48
Midwest,MetropolitanArea,21,12,712.25
Midwest,MetropolitanArea,8,16,1064.39
Northeast,NotMetropolitanArea,14,18,2105.89
South,MetropolitanArea,7,12,197.06
South,MetropolitanArea,12,10,324.76
West,NotMetropolitanArea,14,12,363.11
South,NotMetropolitanArea,39,12,570.37
Midwest,MetropolitanArea,28,12,652.9
South,MetropolitanArea,17,17,2347.74
Northeast,MetropolitanArea,24,10,522.32
South,MetropolitanArea,2,14,437.04
West,MetropolitanArea,6,9,112.23
South,NotMetropolitanArea,0,12,250.71
Northeast,MetropolitanArea,30,11,878.44
Midwest,NotMetropolitanArea,15,12,474.83
Northeast,MetropolitanArea,5,12,474.83
West,MetropolitanArea,37,3,332.38
Midwest,NotMetropolitanArea,17,12,226.42
Northeast,MetropolitanArea,40,9,1899.34
West,MetropolitanArea,18,12,657.64
Northeast,MetropolitanArea,5,12,1481.48
Northeast,MetropolitanArea,4,12,495.42
South,MetropolitanArea,15,14,2374.15
South,MetropolitanArea,11,16,370.37
South,MetropolitanArea,36,11,569.8
South,MetropolitanArea,8,12,671.89
South,NotMetropolitanArea,8,12,617.28
West,MetropolitanArea,8,14,283.95
Midwest,MetropolitanArea,23,13,949.67
South,MetropolitanArea,3,11,566.78
Midwest,MetropolitanArea,9,12,165.43
South,MetropolitanArea,17,13,664.77
West,MetropolitanArea,17,14,1032.76
Northeast,MetropolitanArea,7,12,312.42
West,MetropolitanArea,6,11,356.13
Northeast,MetropolitanArea,3,16,508.07
Midwest,MetropolitanArea,4,12,308.64
West,MetropolitanArea,18,16,759.73
Midwest,MetropolitanArea,8,13,949.67
South,MetropolitanArea,8,16,925.93
Midwest,MetropolitanArea,10,12,142.45
South,MetropolitanArea,15,13,830.96
West,MetropolitanArea,15,18,1222.65
Northeast,MetropolitanArea,25,12,797.33
South,MetropolitanArea,7,18,947.06
South,NotMetropolitanArea,45,13,308.64
South,MetropolitanArea,27,12,830.96
Midwest,MetropolitanArea,40,13,783.48
South,NotMetropolitanArea,43,12,356.13
Northeast,MetropolitanArea,2,12,213.68
South,MetropolitanArea,6,12,166.19
South,MetropolitanArea,9,16,694.44
Midwest,MetropolitanArea,15,16,688.51
West,MetropolitanArea,8,16,783.48
Midwest,MetropolitanArea,30,18,553.77
Northeast,MetropolitanArea,12,13,1044.63
South,NotMetropolitanArea,3,12,308.64
Northeast,MetropolitanArea,20,12,510.45
South,NotMetropolitanArea,14,14,1329.53
Northeast,MetropolitanArea,10,16,94.97
West,NotMetropolitanArea,12,12,237.42
Northeast,MetropolitanArea,45,16,1440.33
South,MetropolitanArea,29,16,1024.67
South,NotMetropolitanArea,4,16,593.54
West,MetropolitanArea,3,14,220.99
West,NotMetropolitanArea,15,14,1414.61
Midwest,MetropolitanArea,10,18,854.7
West,NotMetropolitanArea,10,12,294.92
Midwest,MetropolitanArea,4,15,192.04
South,NotMetropolitanArea,26,12,263.03
Northeast,NotMetropolitanArea,15,18,766.86
West,MetropolitanArea,46,10,617.28
South,MetropolitanArea,1,12,172.84
Northeast,MetropolitanArea,50,8,403.61
Midwest,NotMetropolitanArea,4,16,522.32
Midwest,NotMetropolitanArea,16,7,323.48
South,MetropolitanArea,15,12,403.61
Midwest,NotMetropolitanArea,8,14,308.64
West,MetropolitanArea,18,12,332.38
Northeast,MetropolitanArea,12,12,1127.21
Midwest,MetropolitanArea,17,18,579.3
West,NotMetropolitanArea,4,14,712.25
South,MetropolitanArea,6,12,490.81
Northeast,MetropolitanArea,10,14,830.96
Northeast,MetropolitanArea,6,16,783.48
South,MetropolitanArea,15,10,456.79
Midwest,MetropolitanArea,12,12,830.96
South,MetropolitanArea,6,18,1012.35
Midwest,MetropolitanArea,15,18,1958.69
South,MetropolitanArea,6,12,312.39
Northeast,MetropolitanArea,32,12,451.09
West,NotMetropolitanArea,17,12,451.09
West,MetropolitanArea,21,12,783.48
Northeast,MetropolitanArea,25,10,688.51
West,MetropolitanArea,10,16,712.25
South,MetropolitanArea,18,14,783.48
South,MetropolitanArea,46,12,427.35
South,NotMetropolitanArea,6,12,256.41
South,MetropolitanArea,0,16,296.3
Northeast,MetropolitanArea,26,18,897.6
Northeast,MetropolitanArea,6,12,830.96
Midwest,NotMetropolitanArea,4,12,208.93
Midwest,MetropolitanArea,22,14,593.54
Midwest,NotMetropolitanArea,34,11,407.67
Northeast,MetropolitanArea,47,10,390.55
Midwest,MetropolitanArea,4,16,510.45
Midwest,NotMetropolitanArea,4,12,484.08
Midwest,NotMetropolitanArea,19,12,593.54
South,MetropolitanArea,31,11,379.87
Midwest,MetropolitanArea,13,18,902.18
Midwest,MetropolitanArea,23,14,277.59
West,MetropolitanArea,16,17,648.15
Northeast,MetropolitanArea,6,12,522.32
Northeast,MetropolitanArea,27,2,474.83
South,MetropolitanArea,9,16,930.67
Northeast,MetropolitanArea,3,14,546.06
Midwest,NotMetropolitanArea,10,17,557.93
South,MetropolitanArea,27,14,481.48
Midwest,MetropolitanArea,2,12,712.25
Northeast,MetropolitanArea,19,12,1068.38
Midwest,MetropolitanArea,10,14,712.25
South,MetropolitanArea,41,16,1305.79
Midwest,NotMetropolitanArea,3,13,261.16
Midwest,NotMetropolitanArea,10,12,284.9
West,NotMetropolitanArea,23,14,1206.86
South,MetropolitanArea,2,16,830.96
West,NotMetropolitanArea,44,14,356.13
South,MetropolitanArea,13,12,474.83
South,MetropolitanArea,41,8,579.49
Northeast,NotMetropolitanArea,45,11,493.83
Northeast,MetropolitanArea,5,14,496.2
West,NotMetropolitanArea,24,14,878.44
Northeast,MetropolitanArea,34,17,843.83
West,NotMetropolitanArea,47,0,356.13
Midwest,MetropolitanArea,43,8,902.18
South,NotMetropolitanArea,19,12,997.15
Midwest,MetropolitanArea,36,15,1092.17
Northeast,MetropolitanArea,15,13,854.7
West,MetropolitanArea,1,14,213.68
South,NotMetropolitanArea,37,12,494.8
Northeast,MetropolitanArea,2,12,353.28
South,NotMetropolitanArea,46,8,237.42
Midwest,MetropolitanArea,23,18,428.82
South,MetropolitanArea,6,14,534.19
South,NotMetropolitanArea,21,13,735.99
Midwest,MetropolitanArea,2,16,712.25
Northeast,MetropolitanArea,9,16,712.25
Midwest,MetropolitanArea,31,12,949.67
Midwest,NotMetropolitanArea,25,13,379.63
West,MetropolitanArea,5,15,997.15
West,NotMetropolitanArea,3,14,548.43
South,MetropolitanArea,13,12,202.6
Northeast,MetropolitanArea,15,12,261.16
South,NotMetropolitanArea,5,16,949.67
South,MetropolitanArea,34,18,1947.41
West,MetropolitanArea,23,16,546.06
Northeast,NotMetropolitanArea,0,16,322.89
Northeast,MetropolitanArea,17,18,1780.63
Northeast,NotMetropolitanArea,4,13,125.98
Northeast,MetropolitanArea,3,18,706.2
Midwest,NotMetropolitanArea,37,12,666.67
West,NotMetropolitanArea,20,16,890.31
Midwest,MetropolitanArea,23,12,830.96
Northeast,MetropolitanArea,13,18,902.18
West,MetropolitanArea,39,12,759.73
South,NotMetropolitanArea,19,12,593.54
Midwest,MetropolitanArea,45,11,216.05
Midwest,MetropolitanArea,19,14,332.38
Northeast,NotMetropolitanArea,2,15,702.01
Midwest,MetropolitanArea,1,12,172.33
West,MetropolitanArea,16,13,557.93
South,NotMetropolitanArea,53,6,123.46
South,MetropolitanArea,19,15,1068.38
South,NotMetropolitanArea,48,8,332.38
Northeast,MetropolitanArea,23,12,617.28
Midwest,MetropolitanArea,18,14,807.22
West,NotMetropolitanArea,10,12,294.61
South,MetropolitanArea,34,13,484.57
South,NotMetropolitanArea,7,12,284.9
South,MetropolitanArea,1,18,997.15
Midwest,MetropolitanArea,20,12,448.72
South,NotMetropolitanArea,5,13,308.64
Northeast,MetropolitanArea,9,12,522.32
West,MetropolitanArea,12,12,712.25
South,MetropolitanArea,20,16,1068.38
South,MetropolitanArea,16,12,807.22
Midwest,MetropolitanArea,10,16,641.03
West,NotMetropolitanArea,19,14,99.72
South,NotMetropolitanArea,16,16,403.61
Northeast,MetropolitanArea,16,12,830.96
Northeast,MetropolitanArea,2,12,356.13
Northeast,MetropolitanArea,34,16,73.6
South,NotMetropolitanArea,23,7,148.15
West,NotMetropolitanArea,2,12,223.17
Northeast,NotMetropolitanArea,17,12,688.51
West,MetropolitanArea,16,14,814.81
West,NotMetropolitanArea,24,12,313.39
South,MetropolitanArea,3,18,154.32
Midwest,MetropolitanArea,3,16,569.8
Midwest,MetropolitanArea,31,12,997.15
Northeast,MetropolitanArea,29,18,830.96
Midwest,MetropolitanArea,11,15,284.9
South,NotMetropolitanArea,41,9,569.8
West,MetropolitanArea,4,13,246.91
West,MetropolitanArea,13,17,498.58
Midwest,MetropolitanArea,6,14,546.06
South,MetropolitanArea,24,10,190.72
Midwest,MetropolitanArea,4,16,807.22
West,NotMetropolitanArea,22,12,960.22
West,MetropolitanArea,38,12,51.44
South,MetropolitanArea,40,6,370.37
West,MetropolitanArea,28,18,1866.21
Northeast,MetropolitanArea,15,16,878.44
Midwest,MetropolitanArea,10,12,308.64
South,NotMetropolitanArea,2,14,284.9
South,MetropolitanArea,13,13,1051.85
Midwest,NotMetropolitanArea,27,12,819.09
Midwest,MetropolitanArea,13,14,403.61
West,MetropolitanArea,12,13,407.1
Midwest,NotMetropolitanArea,31,13,902.18
West,MetropolitanArea,17,13,949.67
South,MetropolitanArea,16,13,878.44
South,NotMetropolitanArea,26,6,246.91
West,MetropolitanArea,17,14,759.73
South,MetropolitanArea,28,10,197.5
Midwest,MetropolitanArea,40,10,411.52
South,MetropolitanArea,57,3,712.25
West,MetropolitanArea,0,13,197.53
Northeast,MetropolitanArea,28,12,296.77
South,MetropolitanArea,8,15,546.06
Midwest,MetropolitanArea,5,16,833.81
South,MetropolitanArea,13,12,618.23
South,MetropolitanArea,21,16,2136.75
West,NotMetropolitanArea,12,10,287.11
South,MetropolitanArea,19,10,498.58
Midwest,MetropolitanArea,14,16,1604.94
West,MetropolitanArea,4,12,135.03
Midwest,MetropolitanArea,6,16,546.06
Midwest,MetropolitanArea,38,13,830.96
Midwest,MetropolitanArea,45,8,902.18
South,MetropolitanArea,17,12,427.35
West,NotMetropolitanArea,4,16,415.48
South,MetropolitanArea,21,12,197.53
Midwest,MetropolitanArea,29,18,854.7
Midwest,MetropolitanArea,42,13,1163.34
Northeast,MetropolitanArea,18,16,1187.08
South,MetropolitanArea,27,12,617.28
South,MetropolitanArea,29,12,712.25
West,MetropolitanArea,4,16,617.28
West,MetropolitanArea,18,12,1187.08
Northeast,MetropolitanArea,11,16,1068.38
Northeast,MetropolitanArea,6,12,771.6
West,MetropolitanArea,25,2,427.35
Northeast,MetropolitanArea,14,13,313.39
South,MetropolitanArea,3,12,356.13
Midwest,MetropolitanArea,3,13,340.14
South,NotMetropolitanArea,18,15,430.77
Northeast,MetropolitanArea,26,14,1305.79
Midwest,MetropolitanArea,31,12,688.51
South,MetropolitanArea,6,13,237.42
South,MetropolitanArea,9,18,2136.75
Midwest,MetropolitanArea,45,10,593.54
South,MetropolitanArea,17,16,1064.28
South,MetropolitanArea,4,12,403.61
South,MetropolitanArea,14,11,427.35
South,NotMetropolitanArea,3,14,686.06
South,NotMetropolitanArea,41,12,522.32
South,NotMetropolitanArea,10,11,201.75
West,MetropolitanArea,17,12,668.23
West,MetropolitanArea,13,12,772.98
South,MetropolitanArea,5,13,379.87
Northeast,MetropolitanArea,12,16,1305.79
South,MetropolitanArea,22,17,472.46
Midwest,NotMetropolitanArea,14,12,415.48
Northeast,MetropolitanArea,36,18,427.35
Northeast,MetropolitanArea,17,14,641.03
South,MetropolitanArea,12,12,641.03
South,NotMetropolitanArea,17,9,997.15
Northeast,NotMetropolitanArea,8,12,569.8
South,MetropolitanArea,14,16,1068.38
West,NotMetropolitanArea,7,12,427.35
South,NotMetropolitanArea,16,9,237.42
Midwest,NotMetropolitanArea,30,14,416.0
Northeast,MetropolitanArea,23,12,546.06
Northeast,MetropolitanArea,0,12,339.51
Northeast,MetropolitanArea,26,12,655.27
South,NotMetropolitanArea,3,17,830.96
Northeast,MetropolitanArea,30,12,427.35
Midwest,MetropolitanArea,25,18,1163.34
Northeast,MetropolitanArea,13,11,444.44
Northeast,MetropolitanArea,24,16,949.67
South,MetropolitanArea,17,15,807.22
West,MetropolitanArea,36,16,1424.5
South,NotMetropolitanArea,9,12,273.03
South,NotMetropolitanArea,16,14,830.96
South,MetropolitanArea,43,5,682.95
Midwest,MetropolitanArea,23,18,1305.79
Midwest,MetropolitanArea,4,13,403.61
South,MetropolitanArea,9,17,379.87
South,MetropolitanArea,15,12,415.48
Midwest,MetropolitanArea,12,12,712.25
Northeast,MetropolitanArea,11,12,347.22
West,NotMetropolitanArea,32,10,1163.34
South,NotMetropolitanArea,36,12,564.75
Northeast,MetropolitanArea,29,12,830.96
Midwest,MetropolitanArea,16,12,709.88
South,MetropolitanArea,6,18,841.75
West,MetropolitanArea,7,16,878.44
Northeast,MetropolitanArea,12,12,118.71
South,MetropolitanArea,9,13,356.13
West,MetropolitanArea,3,12,617.28
Midwest,MetropolitanArea,47,14,1234.57
West,NotMetropolitanArea,7,18,1084.01
Midwest,MetropolitanArea,31,12,474.83
South,MetropolitanArea,31,16,75.97
Midwest,MetropolitanArea,25,11,146.32
Northeast,NotMetropolitanArea,15,12,747.86
Northeast,MetropolitanArea,8,18,451.09
Northeast,NotMetropolitanArea,42,12,536.89
South,MetropolitanArea,13,13,498.58
Northeast,MetropolitanArea,32,12,593.54
Midwest,MetropolitanArea,41,12,940.74
Midwest,NotMetropolitanArea,31,12,420.88
Midwest,NotMetropolitanArea,37,12,523.03
South,MetropolitanArea,24,12,237.42
West,NotMetropolitanArea,44,12,232.91
West,MetropolitanArea,39,14,849.95
Northeast,MetropolitanArea,12,18,497.01
Midwest,NotMetropolitanArea,22,12,253.09
Midwest,NotMetropolitanArea,19,18,197.53
Midwest,MetropolitanArea,10,12,830.96
Midwest,NotMetropolitanArea,2,16,213.68
Northeast,MetropolitanArea,0,12,474.83
Midwest,MetropolitanArea,13,12,403.61
Midwest,MetropolitanArea,33,12,745.01
Northeast,NotMetropolitanArea,16,12,443.97
Midwest,NotMetropolitanArea,21,18,801.99
West,MetropolitanArea,15,16,123.46
Midwest,MetropolitanArea,26,11,721.32
Northeast,MetropolitanArea,35,12,546.06
Northeast,NotMetropolitanArea,17,17,759.73
Northeast,MetropolitanArea,22,14,759.73
Midwest,NotMetropolitanArea,23,12,854.7
Northeast,MetropolitanArea,37,12,451.09
Northeast,MetropolitanArea,45,11,830.96
Midwest,MetropolitanArea,0,13,222.41
West,MetropolitanArea,9,18,1424.5
South,NotMetropolitanArea,22,12,215.06
West,NotMetropolitanArea,45,9,312.04
West,NotMetropolitanArea,32,18,87.88
West,NotMetropolitanArea,8,12,376.54
Northeast,MetropolitanArea,15,16,474.83
Northeast,MetropolitanArea,42,12,325.79
West,MetropolitanArea,28,12,474.83
Northeast,NotMetropolitanArea,6,12,244.25
Northeast,MetropolitanArea,17,13,493.4
West,MetropolitanArea,7,18,380.62
Northeast,MetropolitanArea,35,12,261.21
South,NotMetropolitanArea,2,12,320.99
West,MetropolitanArea,10,12,451.09
Northeast,NotMetropolitanArea,10,14,712.25
Northeast,MetropolitanArea,6,13,440.92
Midwest,NotMetropolitanArea,17,12,458.53
Northeast,MetropolitanArea,6,12,246.91
South,MetropolitanArea,15,14,512.82
Northeast,MetropolitanArea,5,14,593.54
Northeast,MetropolitanArea,38,12,783.48
Northeast,MetropolitanArea,16,12,370.37
South,MetropolitanArea,15,18,1282.05
West,NotMetropolitanArea,26,13,569.8
Midwest,MetropolitanArea,14,18,664.77
Northeast,MetropolitanArea,22,12,474.83
Midwest,MetropolitanArea,9,12,451.09
South,MetropolitanArea,7,15,802.47
Midwest,MetropolitanArea,3,11,498.58
Northeast,MetropolitanArea,32,13,749.98
West,NotMetropolitanArea,7,12,676.64
Midwest,NotMetropolitanArea,13,12,189.93
Northeast,MetropolitanArea,9,15,427.35
Northeast,MetropolitanArea,17,18,2065.53
South,MetropolitanArea,15,14,1089.32
Northeast,MetropolitanArea,28,12,949.67
Northeast,MetropolitanArea,13,13,1187.08
West,MetropolitanArea,20,16,973.41
Northeast,NotMetropolitanArea,21,12,874.49
Midwest,MetropolitanArea,16,12,953.98
Northeast,NotMetropolitanArea,11,13,306.27
Northeast,MetropolitanArea,13,14,584.05
South,NotMetropolitanArea,32,12,474.83
Midwest,MetropolitanArea,30,12,958.62
South,NotMetropolitanArea,14,16,1163.34
South,MetropolitanArea,10,12,369.14
West,MetropolitanArea,22,18,830.96
Midwest,MetropolitanArea,24,12,701.46
West,MetropolitanArea,14,0,308.64
South,MetropolitanArea,38,11,593.54
Midwest,NotMetropolitanArea,15,12,617.28
Midwest,MetropolitanArea,11,16,1298.67
South,MetropolitanArea,43,14,1112.67
West,MetropolitanArea,12,12,263.53
South,MetropolitanArea,21,10,379.87
Northeast,NotMetropolitanArea,2,12,180.04
Midwest,NotMetropolitanArea,45,12,344.53
Northeast,MetropolitanArea,36,6,98.77
